api,fetch_time,station,head_sign,projected_arrival,last_updated,door_open,door_close,scheduled_departure
OFFICIAL,2022-11-20T10:52:08.305410-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.252749-05:00,2022-11-20T10:50:56.252749-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:21.306084-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.252749-05:00,2022-11-20T10:50:56.252749-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:27.040895-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:51-05:00,2022-11-20T10:52:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:27.171539-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:32.352897-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:01-05:00,2022-11-20T10:52:30-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:32.454135-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:39.112724-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:02-05:00,2022-11-20T10:52:35-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:39.262530-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:50.487859-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:23-05:00,2022-11-20T10:52:50-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:50.606362-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:52:56.299816-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:23-05:00,2022-11-20T10:52:55-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:52:56.416174-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:02.082330-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:32-05:00,2022-11-20T10:53:00-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:02.342634-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:07.486710-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:33-05:00,2022-11-20T10:53:05-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:07.700984-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:02:46.270143-05:00,2022-11-20T10:51:26.270143-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:15.885145-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:53:15-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:17.832880-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:02.323187-05:00,2022-11-20T10:52:31.323187-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:24.027225-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:48-05:00,2022-11-20T10:53:20-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:24.155071-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:02.323187-05:00,2022-11-20T10:52:31.323187-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:29.304647-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:53:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:29.411276-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:02.323187-05:00,2022-11-20T10:52:31.323187-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:35.592043-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:53:35-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:35.753351-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:13.220333-05:00,2022-11-20T10:52:41.220333-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:41.399746-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:53:40-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:41.558875-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:13.220333-05:00,2022-11-20T10:52:41.220333-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:47.206967-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:46-05:00,2022-11-20T10:53:45-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:47.414673-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:13.220333-05:00,2022-11-20T10:52:41.220333-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:53.583477-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:53:50-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:53.713703-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:13.220333-05:00,2022-11-20T10:52:41.220333-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:53:59.364620-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:53:55-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:53:59.475737-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:13.220333-05:00,2022-11-20T10:52:41.220333-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:04.625142-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:46-05:00,2022-11-20T10:54:00-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:04.872778-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:13.220333-05:00,2022-11-20T10:52:41.220333-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:10.098984-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:46-05:00,2022-11-20T10:54:05-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:10.242824-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:42.441906-05:00,2022-11-20T10:53:06.441906-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:15.905974-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:46-05:00,2022-11-20T10:54:15-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:16.063159-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:42.441906-05:00,2022-11-20T10:53:06.441906-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:21.727283-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:54:20-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:21.846216-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:42.441906-05:00,2022-11-20T10:53:06.441906-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:26.993271-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:46-05:00,2022-11-20T10:54:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:27.098156-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:42.441906-05:00,2022-11-20T10:53:06.441906-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:32.275901-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:46-05:00,2022-11-20T10:54:30-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:32.427659-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.292279-05:00,2022-11-20T10:53:46.292279-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:37.633730-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47-05:00,2022-11-20T10:54:35-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:37.983984-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.292279-05:00,2022-11-20T10:53:46.292279-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:43.167234-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:46-05:00,2022-11-20T10:54:40-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:45.468188-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.292279-05:00,2022-11-20T10:53:46.292279-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:51.107341-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:54:50-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:51.317333-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.292279-05:00,2022-11-20T10:53:46.292279-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:54:57.978388-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:54:55-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:54:58.104678-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.292279-05:00,2022-11-20T10:53:46.292279-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:03.760657-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:00-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:03.883980-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.352276-05:00,2022-11-20T10:54:16.352276-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:12.593951-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:10-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:12.703542-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.352276-05:00,2022-11-20T10:54:16.352276-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:17.846116-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:15-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:17.970396-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.352276-05:00,2022-11-20T10:54:16.352276-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:23.154126-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:20-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:23.249471-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:28.397701-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:28.492963-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:33.661505-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:30-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:33.764040-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:38.906358-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:35-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:40.125390-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:45.768269-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:45-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:45.891008-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:53.067649-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:50-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:53.208901-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:55:58.397355-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:55:55-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:55:58.507381-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:47.339547-05:00,2022-11-20T10:54:01.339547-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:03.654183-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:00-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:03.772437-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:08.940963-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:05-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:09.033830-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:14.207871-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:10-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:14.445564-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:21.101425-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:15-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:21.277255-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
MRAZZA,2022-11-20T10:56:27.953109-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:50-05:00,2022-11-20T10:56:25-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
OFFICIAL,2022-11-20T10:56:28.090383-05:00,HOB,33rd Street via Hoboken,2022-11-20T11:03:51.341594-05:00,2022-11-20T10:55:26.341594-05:00,2022-11-20T11:02:28-05:00,2022-11-20T11:04:32-05:00,2022-11-20T11:01:00-05:00
